review_id,rating,snippet,description,iso_date_of_last_edit,date,user_name,likes,link
Ci9DQUlRQUNvZENodHljRjlvT21zM01FTnlXUzF1Tm1KQmFqVmtSbHAzZG1NMVpuYxAB,5,,,,2 months ago,derz,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21zM01FTnlXUzF1Tm1KQmFqVmtSbHAzZG1NMVpuYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pWdGNWUjRWRzlDUVVKamVUaGxTVmgwYjJKaFdGRRAB,4,,,,2 months ago,Marian Florin,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pWdGNWUjRWRzlDUVVKamVUaGxTVmgwYjJKaFdGRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2xaTVIyNVdTM2RRVldWNU4wVmtPVFo2UjJOTmEwRRAB,5,,,,2 months ago,Dolmanian Sarchis,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xaTVIyNVdTM2RRVldWNU4wVmtPVFo2UjJOTmEwRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2tZd1FrSTNaR1J3UkdOdGVUTmliREZTU25RelNtYxAB,5,,,,2 months ago,TEODOR MIHAI,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tZd1FrSTNaR1J3UkdOdGVUTmliREZTU25RelNtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT214QmMyOURTbk10VlRoamFtRkVWUzEyTVdZMVpVRRAB,5,"Un restaurant de nota zece. Mâncare excelentă, ambianță deosebită și servire excepțională.",,,2 months ago,Alex Tatu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT214QmMyOURTbk10VlRoamFtRkVWUzEyTVdZMVpVRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21aalRraGtPRkZYTFRacGVYYzNaM0Z5VVVkek4wRRAB,1,,,,2 months ago,Curea Maria,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21aalRraGtPRkZYTFRacGVYYzNaM0Z5VVVkek4wRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pWelp6Uk5PRXd4WmxoaFpXWmFiemR4VHpOWFYwRRAB,5,Mancarea a fost exceptionala la gust si servirea foarte prompta! Un restaurant de nota 10! Revin cu drag!,,,2 months ago,Dorina Fidje,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pWelp6Uk5PRXd4WmxoaFpXWmFiemR4VHpOWFYwRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2tkU1NsQm1lQzF1UzJobVMwUkhUa2syZWtkMFZFRRAB,1,,,,2 months ago,CATALIN 47,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tkU1NsQm1lQzF1UzJobVMwUkhUa2syZWtkMFZFRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pWUFdWUkphV2hWWWtONFRVUkpRV1pHYVRZelNrRRAB,5,"Mâncare buna , servire ok , sa o țineți tot asa !",,,2 months ago,CRISTI M. CRISS RYU BUZAU,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pWUFdWUkphV2hWWWtONFRVUkpRV1pHYVRZelNrRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pkSVZsTXpUVVl6ZDNkaE0ySlBTM1JPWW0xeE9GRRAB,5,"Cel mai bun, cel mai cald, cel mai frumos restaurant!
Mâncare, servire și atmosfera impecabile!",,,2 months ago,Vegan Queen,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pkSVZsTXpUVVl6ZDNkaE0ySlBTM1JPWW0xeE9GRRAB!2m1!1s
